F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,153600000,1,20,0.3725518685338966,0.98,32.0
102000,153600000,1,30,0.2423449295382117,0.98,32.0
102000,153600000,1,40,0.1842597915653238,0.99,32.0
102000,153600000,1,50,0.14825643025202112,0.99,32.0
102000,153600000,1,60,0.12416499043929573,0.99,32.0
102000,153600000,1,70,0.10699134974937277,0.99,32.0
102000,153600000,1,80,0.09390994036718786,0.99,32.0
102000,153600000,1,90,0.08353451228375003,0.99,32.0
102000,153600000,1,100,0.0760843928085032,0.99,32.0
102000,153600000,2,0,15.835312747426762,0.0,32.0
102000,153600000,2,10,1.3857324981985477,0.91,32.0
102000,153600000,2,20,0.7259106549165929,0.95,32.0
102000,153600000,2,30,0.47573965623052444,0.97,32.0
102000,153600000,2,40,0.3623162150998906,0.98,32.0
102000,153600000,2,50,0.29210384876031126,0.98,32.0
102000,153600000,2,60,0.24576244110917506,0.98,32.0
102000,153600000,2,70,0.2117701869930751,0.99,32.0
102000,153600000,2,80,0.18552428234569482,0.99,32.0
102000,153600000,2,90,0.16511840640923606,0.99,32.0
102000,153600000,2,100,0.15078885187860291,0.99,32.0
102000,153600000,3,0,15.74307304785894,0.0,32.0
102000,153600000,3,10,1.963016764163166,0.87,32.0
102000,153600000,3,20,1.0471313835746971,0.93,32.0
102000,153600000,3,30,0.6915533671733448,0.95,32.0
102000,153600000,3,40,0.5325891287907032,0.96,32.0
102000,153600000,3,50,0.4314380260847431,0.97,32.0
102000,153600000,3,60,0.3623149023742495,0.98,32.0
102000,153600000,3,70,0.31207577199744096,0.98,32.0
102000,153600000,3,80,0.2737303701108334,0.98,32.0
102000,153600000,3,90,0.24491915218786278,0.98,32.0
102000,153600000,3,100,0.2232157804628156,0.99,32.0
102000,153600000,4,0,15.790304752881731,0.0,32.0
102000,153600000,4,10,2.324284120490889,0.85,32.0
102000,153600000,4,20,1.3176445785513817,0.91,32.0
102000,153600000,4,30,0.9059530172765241,0.94,32.0
102000,153600000,4,40,0.6907556175700599,0.95,32.0
102000,153600000,4,50,0.5631042812818506,0.96,32.0
102000,153600000,4,60,0.4739471264585723,0.97,32.0
102000,153600000,4,70,0.4078935560976008,0.97,32.0
102000,153600000,4,80,0.3599647234571012,0.98,32.0
102000,153600000,4,90,0.3201178033516334,0.98,32.0
102000,153600000,4,100,0.2921268882351738,0.98,32.0
102000,230400000,1,0,9.667440061871616,0.0,37.0
102000,230400000,1,10,0.7286293025560315,0.95,37.0
102000,230400000,1,20,0.3725518685338966,0.98,37.0
102000,230400000,1,30,0.2423449295382117,0.98,37.0
102000,230400000,1,40,0.1842597915653238,0.99,37.0
102000,230400000,1,50,0.14825643025202112,0.99,37.0
102000,230400000,1,60,0.12416499043929573,0.99,37.0
102000,230400000,1,70,0.10699134974937277,0.99,37.0
102000,230400000,1,80,0.09390994036718786,0.99,37.0
102000,230400000,1,90,0.08353451228375003,0.99,37.0
102000,230400000,1,100,0.0760843928085032,0.99,37.0
102000,230400000,2,0,15.835312747426762,0.0,37.0
102000,230400000,2,10,1.3857324981985477,0.91,37.0
102000,230400000,2,20,0.7259106549165929,0.95,37.0
102000,230400000,2,30,0.47573965623052444,0.97,37.0
102000,230400000,2,40,0.3623162150998906,0.98,37.0
102000,230400000,2,50,0.29210384876031126,0.98,37.0
102000,230400000,2,60,0.24576244110917506,0.98,37.0
102000,230400000,2,70,0.2117701869930751,0.99,37.0
102000,230400000,2,80,0.18552428234569482,0.99,37.0
102000,230400000,2,90,0.16511840640923606,0.99,37.0
102000,230400000,2,100,0.15078885187860291,0.99,37.0
102000,230400000,3,0,15.74307304785894,0.0,37.0
102000,230400000,3,10,1.963016764163166,0.87,37.0
102000,230400000,3,20,1.0471313835746971,0.93,37.0
102000,230400000,3,30,0.6915533671733448,0.95,37.0
102000,230400000,3,40,0.5325891287907032,0.96,37.0
102000,230400000,3,50,0.4314380260847431,0.97,37.0
102000,230400000,3,60,0.3623149023742495,0.98,37.0
102000,230400000,3,70,0.31207577199744096,0.98,37.0
102000,230400000,3,80,0.2737303701108334,0.98,37.0
102000,230400000,3,90,0.24491915218786278,0.98,37.0
102000,230400000,3,100,0.2232157804628156,0.99,37.0
102000,230400000,4,0,15.790304752881731,0.0,37.0
102000,230400000,4,10,2.324284120490889,0.85,37.0
102000,230400000,4,20,1.3176445785513817,0.91,37.0
102000,230400000,4,30,0.9059530172765241,0.94,37.0
102000,230400000,4,40,0.6907556175700599,0.95,37.0
102000,230400000,4,50,0.5631042812818506,0.96,37.0
102000,230400000,4,60,0.4739471264585723,0.97,37.0
102000,230400000,4,70,0.4078935560976008,0.97,37.0
102000,230400000,4,80,0.3599647234571012,0.98,37.0
102000,230400000,4,90,0.3201178033516334,0.98,37.0
102000,230400000,4,100,0.2921268882351738,0.98,37.0
102000,307200000,1,0,9.667440061871616,0.0,42.0
102000,307200000,1,10,0.7286293025560315,0.95,42.0
102000,307200000,1,20,0.3725518685338966,0.98,42.0
102000,307200000,1,30,0.2423449295382117,0.98,42.0
102000,307200000,1,40,0.1842597915653238,0.99,42.0
102000,307200000,1,50,0.14825643025202112,0.99,42.0
102000,307200000,1,60,0.12416499043929573,0.99,42.0
102000,307200000,1,70,0.10699134974937277,0.99,42.0
102000,307200000,1,80,0.09390994036718786,0.99,42.0
102000,307200000,1,90,0.08353451228375003,0.99,42.0
102000,307200000,1,100,0.0760843928085032,0.99,42.0
102000,307200000,2,0,15.835312747426762,0.0,42.0
102000,307200000,2,10,1.3857324981985477,0.91,42.0
102000,307200000,2,20,0.7259106549165929,0.95,42.0
102000,307200000,2,30,0.47573965623052444,0.97,42.0
102000,307200000,2,40,0.3623162150998906,0.98,42.0
102000,307200000,2,50,0.29210384876031126,0.98,42.0
102000,307200000,2,60,0.24576244110917506,0.98,42.0
102000,307200000,2,70,0.2117701869930751,0.99,42.0
102000,307200000,2,80,0.18552428234569482,0.99,42.0
102000,307200000,2,90,0.16511840640923606,0.99,42.0
102000,307200000,2,100,0.15078885187860291,0.99,42.0
102000,307200000,3,0,15.74307304785894,0.0,42.0
102000,307200000,3,10,1.963016764163166,0.87,42.0
102000,307200000,3,20,1.0471313835746971,0.93,42.0
102000,307200000,3,30,0.6915533671733448,0.95,42.0
102000,307200000,3,40,0.5325891287907032,0.96,42.0
102000,307200000,3,50,0.4314380260847431,0.97,42.0
102000,307200000,3,60,0.3623149023742495,0.98,42.0
102000,307200000,3,70,0.31207577199744096,0.98,42.0
102000,307200000,3,80,0.2737303701108334,0.98,42.0
102000,307200000,3,90,0.24491915218786278,0.98,42.0
102000,307200000,3,100,0.2232157804628156,0.99,42.0
102000,307200000,4,0,15.790304752881731,0.0,42.0
102000,307200000,4,10,2.324284120490889,0.85,42.0
102000,307200000,4,20,1.3176445785513817,0.91,42.0
102000,307200000,4,30,0.9059530172765241,0.94,42.0
102000,307200000,4,40,0.6907556175700599,0.95,42.0
102000,307200000,4,50,0.5631042812818506,0.96,42.0
102000,307200000,4,60,0.4739471264585723,0.97,42.0
102000,307200000,4,70,0.4078935560976008,0.97,42.0
102000,307200000,4,80,0.3599647234571012,0.98,42.0
102000,307200000,4,90,0.3201178033516334,0.98,42.0
102000,307200000,4,100,0.2921268882351738,0.98,42.0
102000,384000000,1,0,9.667440061871616,0.0,42.0
102000,384000000,1,10,0.7286293025560315,0.95,42.0
102000,384000000,1,20,0.3725518685338966,0.98,42.0
102000,384000000,1,30,0.2423449295382117,0.98,42.0
102000,384000000,1,40,0.1842597915653238,0.99,42.0
102000,384000000,1,50,0.14825643025202112,0.99,42.0
102000,384000000,1,60,0.12416499043929573,0.99,42.0
102000,384000000,1,70,0.10699134974937277,0.99,42.0
102000,384000000,1,80,0.09390994036718786,0.99,42.0
102000,384000000,1,90,0.08353451228375003,0.99,42.0
102000,384000000,1,100,0.0760843928085032,0.99,42.0
102000,384000000,2,0,15.835312747426762,0.0,42.0
102000,384000000,2,10,1.3857324981985477,0.91,42.0
102000,384000000,2,20,0.7259106549165929,0.95,42.0
102000,384000000,2,30,0.47573965623052444,0.97,42.0
102000,384000000,2,40,0.3623162150998906,0.98,42.0
102000,384000000,2,50,0.29210384876031126,0.98,42.0
102000,384000000,2,60,0.24576244110917506,0.98,42.0
102000,384000000,2,70,0.2117701869930751,0.99,42.0
102000,384000000,2,80,0.18552428234569482,0.99,42.0
102000,384000000,2,90,0.16511840640923606,0.99,42.0
102000,384000000,2,100,0.15078885187860291,0.99,42.0
102000,384000000,3,0,15.74307304785894,0.0,42.0
102000,384000000,3,10,1.963016764163166,0.87,42.0
102000,384000000,3,20,1.0471313835746971,0.93,42.0
102000,384000000,3,30,0.6915533671733448,0.95,42.0
102000,384000000,3,40,0.5325891287907032,0.96,42.0
102000,384000000,3,50,0.4314380260847431,0.97,42.0
102000,384000000,3,60,0.3623149023742495,0.98,42.0
102000,384000000,3,70,0.31207577199744096,0.98,42.0
102000,384000000,3,80,0.2737303701108334,0.98,42.0
102000,384000000,3,90,0.24491915218786278,0.98,42.0
102000,384000000,3,100,0.2232157804628156,0.99,42.0
102000,384000000,4,0,15.790304752881731,0.0,42.0
102000,384000000,4,10,2.324284120490889,0.85,42.0
102000,384000000,4,20,1.3176445785513817,0.91,42.0
102000,384000000,4,30,0.9059530172765241,0.94,42.0
102000,384000000,4,40,0.6907556175700599,0.95,42.0
102000,384000000,4,50,0.5631042812818506,0.96,42.0
102000,384000000,4,60,0.4739471264585723,0.97,42.0
102000,384000000,4,70,0.4078935560976008,0.97,42.0
102000,384000000,4,80,0.3599647234571012,0.98,42.0
102000,384000000,4,90,0.3201178033516334,0.98,42.0
102000,384000000,4,100,0.2921268882351738,0.98,42.0
102000,460800000,1,0,9.667440061871616,0.0,42.0
102000,460800000,1,10,0.7286293025560315,0.95,42.0
102000,460800000,1,20,0.3725518685338966,0.98,42.0
102000,460800000,1,30,0.2423449295382117,0.98,42.0
102000,460800000,1,40,0.1842597915653238,0.99,42.0
102000,460800000,1,50,0.14825643025202112,0.99,42.0
102000,460800000,1,60,0.12416499043929573,0.99,42.0
102000,460800000,1,70,0.10699134974937277,0.99,42.0
102000,460800000,1,80,0.09390994036718786,0.99,42.0
102000,460800000,1,90,0.08353451228375003,0.99,42.0
102000,460800000,1,100,0.0760843928085032,0.99,42.0
102000,460800000,2,0,15.835312747426762,0.0,42.0
102000,460800000,2,10,1.3857324981985477,0.91,42.0
102000,460800000,2,20,0.7259106549165929,0.95,42.0
102000,460800000,2,30,0.47573965623052444,0.97,42.0
102000,460800000,2,40,0.3623162150998906,0.98,42.0
102000,460800000,2,50,0.29210384876031126,0.98,42.0
102000,460800000,2,60,0.24576244110917506,0.98,42.0
102000,460800000,2,70,0.2117701869930751,0.99,42.0
102000,460800000,2,80,0.18552428234569482,0.99,42.0
102000,460800000,2,90,0.16511840640923606,0.99,42.0
102000,460800000,2,100,0.15078885187860291,0.99,42.0
102000,460800000,3,0,15.74307304785894,0.0,42.0
102000,460800000,3,10,1.963016764163166,0.87,42.0
102000,460800000,3,20,1.0471313835746971,0.93,42.0
102000,460800000,3,30,0.6915533671733448,0.95,42.0
102000,460800000,3,40,0.5325891287907032,0.96,42.0
102000,460800000,3,50,0.4314380260847431,0.97,42.0
102000,460800000,3,60,0.3623149023742495,0.98,42.0
102000,460800000,3,70,0.31207577199744096,0.98,42.0
102000,460800000,3,80,0.2737303701108334,0.98,42.0
102000,460800000,3,90,0.24491915218786278,0.98,42.0
102000,460800000,3,100,0.2232157804628156,0.99,42.0
102000,460800000,4,0,15.790304752881731,0.0,42.0
102000,460800000,4,10,2.324284120490889,0.85,42.0
102000,460800000,4,20,1.3176445785513817,0.91,42.0
102000,460800000,4,30,0.9059530172765241,0.94,42.0
102000,460800000,4,40,0.6907556175700599,0.95,42.0
102000,460800000,4,50,0.5631042812818506,0.96,42.0
102000,460800000,4,60,0.4739471264585723,0.97,42.0
102000,460800000,4,70,0.4078935560976008,0.97,42.0
102000,460800000,4,80,0.3599647234571012,0.98,42.0
102000,460800000,4,90,0.3201178033516334,0.98,42.0
102000,460800000,4,100,0.2921268882351738,0.98,42.0
102000,537600000,1,0,9.667440061871616,0.0,42.0
102000,537600000,1,10,0.7286293025560315,0.95,42.0
102000,537600000,1,20,0.3725518685338966,0.98,42.0
102000,537600000,1,30,0.2423449295382117,0.98,42.0
102000,537600000,1,40,0.1842597915653238,0.99,42.0
102000,537600000,1,50,0.14825643025202112,0.99,42.0
102000,537600000,1,60,0.12416499043929573,0.99,42.0
102000,537600000,1,70,0.10699134974937277,0.99,42.0
102000,537600000,1,80,0.09390994036718786,0.99,42.0
102000,537600000,1,90,0.08353451228375003,0.99,42.0
102000,537600000,1,100,0.0760843928085032,0.99,42.0
102000,537600000,2,0,15.835312747426762,0.0,42.0
102000,537600000,2,10,1.3857324981985477,0.91,42.0
102000,537600000,2,20,0.7259106549165929,0.95,42.0
102000,537600000,2,30,0.47573965623052444,0.97,42.0
102000,537600000,2,40,0.3623162150998906,0.98,42.0
102000,537600000,2,50,0.29210384876031126,0.98,42.0
102000,537600000,2,60,0.24576244110917506,0.98,42.0
102000,537600000,2,70,0.2117701869930751,0.99,42.0
102000,537600000,2,80,0.18552428234569482,0.99,42.0
102000,537600000,2,90,0.16511840640923606,0.99,42.0
102000,537600000,2,100,0.15078885187860291,0.99,42.0
102000,537600000,3,0,15.74307304785894,0.0,42.0
102000,537600000,3,10,1.963016764163166,0.87,42.0
102000,537600000,3,20,1.0471313835746971,0.93,42.0
102000,537600000,3,30,0.6915533671733448,0.95,42.0
102000,537600000,3,40,0.5325891287907032,0.96,42.0
102000,537600000,3,50,0.4314380260847431,0.97,42.0
102000,537600000,3,60,0.3623149023742495,0.98,42.0
102000,537600000,3,70,0.31207577199744096,0.98,42.0
102000,537600000,3,80,0.2737303701108334,0.98,42.0
102000,537600000,3,90,0.24491915218786278,0.98,42.0
102000,537600000,3,100,0.2232157804628156,0.99,42.0
102000,537600000,4,0,15.790304752881731,0.0,42.0
102000,537600000,4,10,2.324284120490889,0.85,42.0
102000,537600000,4,20,1.3176445785513817,0.91,42.0
102000,537600000,4,30,0.9059530172765241,0.94,42.0
102000,537600000,4,40,0.6907556175700599,0.95,42.0
102000,537600000,4,50,0.5631042812818506,0.96,42.0
102000,537600000,4,60,0.4739471264585723,0.97,42.0
102000,537600000,4,70,0.4078935560976008,0.97,42.0
102000,537600000,4,80,0.3599647234571012,0.98,42.0
102000,537600000,4,90,0.3201178033516334,0.98,42.0
102000,537600000,4,100,0.2921268882351738,0.98,42.0
102000,614400000,1,0,9.667440061871616,0.0,42.0
102000,614400000,1,10,0.7286293025560315,0.95,42.0
102000,614400000,1,20,0.3725518685338966,0.98,42.0
102000,614400000,1,30,0.2423449295382117,0.98,42.0
102000,614400000,1,40,0.1842597915653238,0.99,42.0
102000,614400000,1,50,0.14825643025202112,0.99,42.0
102000,614400000,1,60,0.12416499043929573,0.99,42.0
102000,614400000,1,70,0.10699134974937277,0.99,42.0
102000,614400000,1,80,0.09390994036718786,0.99,42.0
102000,614400000,1,90,0.08353451228375003,0.99,42.0
102000,614400000,1,100,0.0760843928085032,0.99,42.0
102000,614400000,2,0,15.835312747426762,0.0,42.0
102000,614400000,2,10,1.3857324981985477,0.91,42.0
102000,614400000,2,20,0.7259106549165929,0.95,42.0
102000,614400000,2,30,0.47573965623052444,0.97,42.0
102000,614400000,2,40,0.3623162150998906,0.98,42.0
102000,614400000,2,50,0.29210384876031126,0.98,42.0
102000,614400000,2,60,0.24576244110917506,0.98,42.0
102000,614400000,2,70,0.2117701869930751,0.99,42.0
102000,614400000,2,80,0.18552428234569482,0.99,42.0
102000,614400000,2,90,0.16511840640923606,0.99,42.0
102000,614400000,2,100,0.15078885187860291,0.99,42.0
102000,614400000,3,0,15.74307304785894,0.0,42.0
102000,614400000,3,10,1.963016764163166,0.87,42.0
102000,614400000,3,20,1.0471313835746971,0.93,42.0
102000,614400000,3,30,0.6915533671733448,0.95,42.0
102000,614400000,3,40,0.5325891287907032,0.96,42.0
102000,614400000,3,50,0.4314380260847431,0.97,42.0
102000,614400000,3,60,0.3623149023742495,0.98,42.0
102000,614400000,3,70,0.31207577199744096,0.98,42.0
102000,614400000,3,80,0.2737303701108334,0.98,42.0
102000,614400000,3,90,0.24491915218786278,0.98,42.0
102000,614400000,3,100,0.2232157804628156,0.99,42.0
102000,614400000,4,0,15.790304752881731,0.0,42.0
102000,614400000,4,10,2.324284120490889,0.85,42.0
102000,614400000,4,20,1.3176445785513817,0.91,42.0
102000,614400000,4,30,0.9059530172765241,0.94,42.0
102000,614400000,4,40,0.6907556175700599,0.95,42.0
102000,614400000,4,50,0.5631042812818506,0.96,42.0
102000,614400000,4,60,0.4739471264585723,0.97,42.0
102000,614400000,4,70,0.4078935560976008,0.97,42.0
102000,614400000,4,80,0.3599647234571012,0.98,42.0
102000,614400000,4,90,0.3201178033516334,0.98,42.0
102000,614400000,4,100,0.2921268882351738,0.98,42.0
102000,691200000,1,0,9.667440061871616,0.0,76.0
102000,691200000,1,10,0.7286293025560315,0.95,76.0
102000,691200000,1,20,0.3725518685338966,0.98,76.0
102000,691200000,1,30,0.2423449295382117,0.98,76.0
102000,691200000,1,40,0.1842597915653238,0.99,76.0
102000,691200000,1,50,0.14825643025202112,0.99,76.0
102000,691200000,1,60,0.12416499043929573,0.99,76.0
102000,691200000,1,70,0.10699134974937277,0.99,76.0
102000,691200000,1,80,0.09390994036718786,0.99,76.0
102000,691200000,1,90,0.08353451228375003,0.99,76.0
102000,691200000,1,100,0.0760843928085032,0.99,76.0
102000,691200000,2,0,15.835312747426762,0.0,76.0
102000,691200000,2,10,1.3857324981985477,0.91,76.0
102000,691200000,2,20,0.7259106549165929,0.95,76.0
102000,691200000,2,30,0.47573965623052444,0.97,76.0
102000,691200000,2,40,0.3623162150998906,0.98,76.0
102000,691200000,2,50,0.29210384876031126,0.98,76.0
102000,691200000,2,60,0.24576244110917506,0.98,76.0
102000,691200000,2,70,0.2117701869930751,0.99,76.0
102000,691200000,2,80,0.18552428234569482,0.99,76.0
102000,691200000,2,90,0.16511840640923606,0.99,76.0
102000,691200000,2,100,0.15078885187860291,0.99,76.0
102000,691200000,3,0,15.74307304785894,0.0,76.0
102000,691200000,3,10,1.963016764163166,0.87,76.0
102000,691200000,3,20,1.0471313835746971,0.93,76.0
102000,691200000,3,30,0.6915533671733448,0.95,76.0
102000,691200000,3,40,0.5325891287907032,0.96,76.0
102000,691200000,3,50,0.4314380260847431,0.97,76.0
102000,691200000,3,60,0.3623149023742495,0.98,76.0
102000,691200000,3,70,0.31207577199744096,0.98,76.0
102000,691200000,3,80,0.2737303701108334,0.98,76.0
102000,691200000,3,90,0.24491915218786278,0.98,76.0
102000,691200000,3,100,0.2232157804628156,0.99,76.0
102000,691200000,4,0,15.790304752881731,0.0,76.0
102000,691200000,4,10,2.324284120490889,0.85,76.0
102000,691200000,4,20,1.3176445785513817,0.91,76.0
102000,691200000,4,30,0.9059530172765241,0.94,76.0
102000,691200000,4,40,0.6907556175700599,0.95,76.0
102000,691200000,4,50,0.5631042812818506,0.96,76.0
102000,691200000,4,60,0.4739471264585723,0.97,76.0
102000,691200000,4,70,0.4078935560976008,0.97,76.0
102000,691200000,4,80,0.3599647234571012,0.98,76.0
102000,691200000,4,90,0.3201178033516334,0.98,76.0
102000,691200000,4,100,0.2921268882351738,0.98,76.0
102000,768000000,1,0,9.667440061871616,0.0,85.0
102000,768000000,1,10,0.7286293025560315,0.95,85.0
102000,768000000,1,20,0.3725518685338966,0.98,85.0
102000,768000000,1,30,0.2423449295382117,0.98,85.0
102000,768000000,1,40,0.1842597915653238,0.99,85.0
102000,768000000,1,50,0.14825643025202112,0.99,85.0
102000,768000000,1,60,0.12416499043929573,0.99,85.0
102000,768000000,1,70,0.10699134974937277,0.99,85.0
102000,768000000,1,80,0.09390994036718786,0.99,85.0
102000,768000000,1,90,0.08353451228375003,0.99,85.0
102000,768000000,1,100,0.0760843928085032,0.99,85.0
102000,768000000,2,0,15.835312747426762,0.0,85.0
102000,768000000,2,10,1.3857324981985477,0.91,85.0
102000,768000000,2,20,0.7259106549165929,0.95,85.0
102000,768000000,2,30,0.47573965623052444,0.97,85.0
102000,768000000,2,40,0.3623162150998906,0.98,85.0
102000,768000000,2,50,0.29210384876031126,0.98,85.0
102000,768000000,2,60,0.24576244110917506,0.98,85.0
102000,768000000,2,70,0.2117701869930751,0.99,85.0
102000,768000000,2,80,0.18552428234569482,0.99,85.0
102000,768000000,2,90,0.16511840640923606,0.99,85.0
102000,768000000,2,100,0.15078885187860291,0.99,85.0
102000,768000000,3,0,15.74307304785894,0.0,85.0
102000,768000000,3,10,1.963016764163166,0.87,85.0
102000,768000000,3,20,1.0471313835746971,0.93,85.0
102000,768000000,3,30,0.6915533671733448,0.95,85.0
102000,768000000,3,40,0.5325891287907032,0.96,85.0
102000,768000000,3,50,0.4314380260847431,0.97,85.0
102000,768000000,3,60,0.3623149023742495,0.98,85.0
102000,768000000,3,70,0.31207577199744096,0.98,85.0
102000,768000000,3,80,0.2737303701108334,0.98,85.0
102000,768000000,3,90,0.24491915218786278,0.98,85.0
102000,768000000,3,100,0.2232157804628156,0.99,85.0
102000,768000000,4,0,15.790304752881731,0.0,85.0
102000,768000000,4,10,2.324284120490889,0.85,85.0
102000,768000000,4,20,1.3176445785513817,0.91,85.0
102000,768000000,4,30,0.9059530172765241,0.94,85.0
102000,768000000,4,40,0.6907556175700599,0.95,85.0
102000,768000000,4,50,0.5631042812818506,0.96,85.0
102000,768000000,4,60,0.4739471264585723,0.97,85.0
102000,768000000,4,70,0.4078935560976008,0.97,85.0
102000,768000000,4,80,0.3599647234571012,0.98,85.0
102000,768000000,4,90,0.3201178033516334,0.98,85.0
102000,768000000,4,100,0.2921268882351738,0.98,85.0
102000,844800000,1,0,9.667440061871616,0.0,85.0
102000,844800000,1,10,0.7286293025560315,0.95,85.0
102000,844800000,1,20,0.3725518685338966,0.98,85.0
102000,844800000,1,30,0.2423449295382117,0.98,85.0
102000,844800000,1,40,0.1842597915653238,0.99,85.0
102000,844800000,1,50,0.14825643025202112,0.99,85.0
102000,844800000,1,60,0.12416499043929573,0.99,85.0
102000,844800000,1,70,0.10699134974937277,0.99,85.0
102000,844800000,1,80,0.09390994036718786,0.99,85.0
102000,844800000,1,90,0.08353451228375003,0.99,85.0
102000,844800000,1,100,0.0760843928085032,0.99,85.0
102000,844800000,2,0,15.835312747426762,0.0,85.0
102000,844800000,2,10,1.3857324981985477,0.91,85.0
102000,844800000,2,20,0.7259106549165929,0.95,85.0
102000,844800000,2,30,0.47573965623052444,0.97,85.0
102000,844800000,2,40,0.3623162150998906,0.98,85.0
102000,844800000,2,50,0.29210384876031126,0.98,85.0
102000,844800000,2,60,0.24576244110917506,0.98,85.0
102000,844800000,2,70,0.2117701869930751,0.99,85.0
102000,844800000,2,80,0.18552428234569482,0.99,85.0
102000,844800000,2,90,0.16511840640923606,0.99,85.0
102000,844800000,2,100,0.15078885187860291,0.99,85.0
102000,844800000,3,0,15.74307304785894,0.0,85.0
102000,844800000,3,10,1.963016764163166,0.87,85.0
102000,844800000,3,20,1.0471313835746971,0.93,85.0
102000,844800000,3,30,0.6915533671733448,0.95,85.0
102000,844800000,3,40,0.5325891287907032,0.96,85.0
102000,844800000,3,50,0.4314380260847431,0.97,85.0
102000,844800000,3,60,0.3623149023742495,0.98,85.0
102000,844800000,3,70,0.31207577199744096,0.98,85.0
102000,844800000,3,80,0.2737303701108334,0.98,85.0
102000,844800000,3,90,0.24491915218786278,0.98,85.0
102000,844800000,3,100,0.2232157804628156,0.99,85.0
102000,844800000,4,0,15.790304752881731,0.0,85.0
102000,844800000,4,10,2.324284120490889,0.85,85.0
102000,844800000,4,20,1.3176445785513817,0.91,85.0
102000,844800000,4,30,0.9059530172765241,0.94,85.0
102000,844800000,4,40,0.6907556175700599,0.95,85.0
102000,844800000,4,50,0.5631042812818506,0.96,85.0
102000,844800000,4,60,0.4739471264585723,0.97,85.0
102000,844800000,4,70,0.4078935560976008,0.97,85.0
102000,844800000,4,80,0.3599647234571012,0.98,85.0
102000,844800000,4,90,0.3201178033516334,0.98,85.0
102000,844800000,4,100,0.2921268882351738,0.98,85.0
102000,921600000,1,0,9.667440061871616,0.0,127.0
102000,921600000,1,10,0.7286293025560315,0.95,127.0
102000,921600000,1,20,0.3725518685338966,0.98,127.0
102000,921600000,1,30,0.2423449295382117,0.98,127.0
102000,921600000,1,40,0.1842597915653238,0.99,127.0
102000,921600000,1,50,0.14825643025202112,0.99,127.0
102000,921600000,1,60,0.12416499043929573,0.99,127.0
102000,921600000,1,70,0.10699134974937277,0.99,127.0
102000,921600000,1,80,0.09390994036718786,0.99,127.0
102000,921600000,1,90,0.08353451228375003,0.99,127.0
102000,921600000,1,100,0.0760843928085032,0.99,127.0
102000,921600000,2,0,15.835312747426762,0.0,127.0
102000,921600000,2,10,1.3857324981985477,0.91,127.0
102000,921600000,2,20,0.7259106549165929,0.95,127.0
